Step,Section,Field_Name,Field_Type,Required,Validation,Options,Description,Applies_To,Conditional_Logic
1,Lead Capture,first_name,string,TRUE,min 1 char,,Applicant's first name,Primary + Co-applicants,
1,Lead Capture,last_name,string,TRUE,min 1 char,,Applicant's last name,Primary + Co-applicants,
1,Lead Capture,date_of_birth,Date,TRUE,valid date,,Date of birth (age calculated automatically),Primary + Co-applicants,
1,Lead Capture,email,string,TRUE,email format,,Primary email address,Primary + Co-applicants,
1,Lead Capture,mobile,string,TRUE,libphonenumber-js,,Mobile phone number,Primary + Co-applicants,
2,Personal Info,nationality,string,TRUE,min 1 char,,Nationality/citizenship,Primary + Co-applicants,
2,Personal Info,marital_status,enum,TRUE,,"single,married,civil_partnership,divorced,widowed",Current marital status,Primary + Co-applicants,
2,Personal Info,telephone,string,FALSE,libphonenumber-js when provided,,Optional landline/telephone number,Primary + Co-applicants,
2,Personal Info,has_co_applicants,boolean,TRUE,,,Whether application includes co-applicants,Primary only,
2,Co-applicant Collection,co_applicants,array,conditional,min 1 when has_co_applicants=true,,Array of co-applicant basic information,Primary only,Required if has_co_applicants=true
3,Property Info,current_address,string,TRUE,min 1 char,,Current residential address,All applicants,
3,Property Info,move_in_date,Date,TRUE,valid date,,Date moved into current address,All applicants,
3,Property Info,homeowner_or_tenant,enum,TRUE,,"homeowner,tenant",Current housing status,All applicants,
3,Property Info,monthly_mortgage_or_rent,number,TRUE,min 0,,Monthly housing payment amount,All applicants,
3,Property Info,monthly_payment_currency,string,TRUE,min 1 char,,Currency for monthly payment,All applicants,
3,Property Info,current_property_value,number,FALSE,min 0,,Current estimated property value (if homeowner),All applicants,
3,Property Info,property_value_currency,string,FALSE,,,Currency for property value,All applicants,
3,Property Info,mortgage_outstanding,number,FALSE,min 0,,Outstanding mortgage balance (if homeowner),All applicants,
3,Property Info,mortgage_outstanding_currency,string,FALSE,,,Currency for mortgage outstanding,All applicants,
3,Property Info,lender_or_landlord_details,string,FALSE,,,Lender or landlord contact details,All applicants,
3,Property Info,previous_address,string,FALSE,,,Previous residential address,All applicants,
3,Property Info,previous_move_in_date,Date,FALSE,valid date,,Date moved into previous address,All applicants,
3,Property Info,previous_move_out_date,Date,FALSE,valid date,,Date moved out of previous address,All applicants,
3,Property Info,tax_country,string,TRUE,min 1 char,,Country where taxes are paid,All applicants,
3,Property Info,has_children,boolean,TRUE,,,Whether applicant has children,All applicants,
3,Property Info,children,array,conditional,min 1 when has_children=true,,Array of children's birth dates,All applicants,Required if has_children=true
3,Children,child_date_of_birth,Date,TRUE,valid date,,Child's date of birth,All applicants,For each child in children array
4,Employment,employment_status,enum,TRUE,,"employed,self_employed,director,retired_pension,home_maker,other",Current employment status,All applicants,
4,Employment - Employed,job_title,string,conditional,min 1 char,,Current job title,All applicants,Required if employment_status=employed
4,Employment - Employed,employer_name,string,conditional,min 1 char,,Current employer name,All applicants,Required if employment_status=employed
4,Employment - Employed,employer_address,string,conditional,min 1 char,,Employer's address,All applicants,Required if employment_status=employed
4,Employment - Employed,gross_annual_salary,number,FALSE,min 0,,Gross annual salary,All applicants,Only if employment_status=employed
4,Employment - Employed,net_monthly_income,number,FALSE,min 0,,Net monthly income,All applicants,Only if employment_status=employed
4,Employment - Employed,employment_start_date,Date,conditional,valid date,,Employment start date,All applicants,Required if employment_status=employed
4,Employment - Employed,previous_employment_details,string,FALSE,,,Details of previous employment,All applicants,Only if employment_status=employed
4,Employment - Self Employed,business_name,string,conditional,min 1 char,,Business name,All applicants,Required if employment_status=self_employed
4,Employment - Self Employed,business_address,string,conditional,min 1 char,,Business address,All applicants,Required if employment_status=self_employed
4,Employment - Self Employed,business_website,string,FALSE,,,Business website URL,All applicants,Only if employment_status=self_employed
4,Employment - Self Employed,company_creation_date,Date,conditional,valid date,,Business creation/registration date,All applicants,Required if employment_status=self_employed
4,Employment - Self Employed,total_gross_annual_income,number,FALSE,min 0,,Total gross annual income,All applicants,Only if employment_status=self_employed
4,Employment - Self Employed,net_annual_income,number,FALSE,min 0,,Net annual income,All applicants,Only if employment_status=self_employed
4,Employment - Self Employed,bonus_overtime_commission_details,string,FALSE,,,Details of bonus/overtime/commission,All applicants,Only if employment_status=self_employed
4,Employment - Self Employed,accountant_can_provide_info,boolean,conditional,,,Whether accountant can provide financial information,All applicants,Required if employment_status=self_employed
4,Employment - Self Employed,accountant_contact_details,string,conditional,min 1 char,,Accountant's contact details,All applicants,Required if accountant_can_provide_info=true
4,Employment - Director,business_name,string,conditional,min 1 char,,Company name,All applicants,Required if employment_status=director
